房型,入住时间,入住类型,评分,评论,评论时间
豪华城景大床房,于2022年5月入住,独自旅行,5,🚗 交通：交通非常便捷，离公交、地铁站很近，自驾楼下有停车场，附近马路两边也有免费停车位； 🧹卫生：房间干净，布置合理，设施齐全，住着很温馨、舒适； 🍃环境：酒店在崂山区核心地段，紧靠石老人海水浴场，地段非常优越；紧邻金狮广场、利群金鼎、丽达购物中心，酒店楼下就有美食街，肯德基、麦当劳、星巴克、必胜客都有，还有很多不错的餐厅选择，很方便；跟前也有很多银行、博物馆、会展中心，配套完善，生活方便； 🔔服务：前台小姐姐服务非常到位、周到，耐心细致；人很体贴，会为住客着想；还给升级了高楼层的海景房，站在飘窗前，眼前就是无敌海景，感觉很美妙！酒店保洁也会按时打扫房间，更换新的洁具等，房间打扫的很干净。 总之，是一次非常好的入住体验，性价比超值，下次还会再来，也会推荐给来玩儿的朋友。,2022年5月11日发布
豪华城景双床房,于2022年2月入住,独自旅行,5,环境非常不错，房间大，隔音好，可以看到大海，服务非常周到，房间打扫的很干净，每次来青岛都会住在这里，也算是老客户了。,2022年2月9日发布
精品城景大床房,于2022年2月入住,朋友出游,1,真的太脏了，床单上也有毛发……地毯上更多，简直了，哪里都不敢碰到，脚都不敢碰到地，地板沙发都很脏，差评,2022年2月24日发布
豪华城景大床房,于2022年4月入住,情侣出游,5,风景特别好～也很干净性价比很高！,2022年4月13日发布
精品城景大床房,于2022年1月入住,朋友出游,5,入住商家给免费升级成了海景大床房，风景超棒，房间面积也很大，设施也还算新，离海边很近，走1000米就能到海，点赞,2022年1月17日发布
童趣温馨亲子房,于2022年2月入住,朋友出游,5,超级棒，干净卫生，空间超级大，交通方便，购物方便，玩耍方便，靠近石老人浴场,2022年5月2日发布
豪华城景双床房,于2022年4月入住,商务出差,5,感觉还不错👌,2022年5月18日发布
精品城景大床房,于2021年11月入住,其他,5,🚗 交通：很方便。公交站和地铁站都不远，去哪里都很方便。 🔔服务：很好。小姐姐给免费升级了海景房哈哈。都不用去石老人看日出了哈哈。满意满意下次还来,2021年11月28日发布
豪华城景大床房,于2022年8月入住,家庭亲子,5,位置很方便，去海边走路只要15分钟，房间里洗衣机微波炉都有，前台小妹妹还可以提供洗衣液和碗，还能提供游泳圈，下次去应该还会住这里。,2022年8月10日 发布于上海
豪华城景双床房,于2021年11月入住,商务出差,5,真的非常不错的公寓酒店，卫生安全，服务台小哥态度极好，这个季节入住绝对的超值，而且购物超级方便，配套电磁炉、微波炉和洗衣机，太周到了,2021年12月1日发布
豪华城景双床房,于2022年11月入住,商务出差,1,非常垃圾，有异味，没有停车位，在路边有几个车位，你永远也抢不到。停路边喜提违章停车一枚,2022年11月24日 发布于山东
豪华城景双床房,于2021年11月入住,商务出差,5,酒店位置很不错，地铁就在附近，出行方便，到海边步行10分钟就到了，周围是商业街，房间设施齐全，卫生干净，住了好几次，入住感很好，前台也很热情，推荐。,2021年11月18日发布
豪华城景大床房,于2022年6月入住,商务出差,5,前台小姐姐服务态度超好 洗面奶忘在了酒店也很热情的帮我寄了回来 时隔两年又来住了 虽然天公不作美 但离海边还是很近的 周边好吃的也多 心情还是超棒,2022年7月1日发布
豪华城景双床房,于2022年8月入住,家庭亲子,5,非常好的一家酒店，因为没赶上高铁只能改签，老板免费给我们升级到亲子房，小朋友非常喜欢，环境，交通都很方便，下次去还住这家,2022年9月11日 发布于江苏
精品城景大床房,于2022年4月入住,商务出差,5,感谢前台带眼镜的小姐姐连续两次为我升级房型，起初认为公寓型酒店会很简单，但是超出了我之前的认知，房间面积很大，有榻榻米，淋雨水压很足，可以看到海，视野很好。重点点赞前台，虽然只有简简单单办入住时的几句话，但是可以听出小姐姐服务好，说话温柔！,2022年4月9日发布
精品城景大床房,于2021年12月入住,家庭亲子,4.5,第一天住的双床房，最后一天换了大床，感觉还是大床房更宽敞，打扫卫生的阿姨人很好，酒店服务也不错，有什么问题都及时处理了,2021年12月5日发布
精品城景大床房,于2021年11月入住,商务出差,5,🧹卫生：干净，房间设施齐全 🚗 交通：方便 🍃环境：很好，周围啥都有，离海边很近，周围买东西也方便，附近有个丽达超市 🔔服务：前台小姑娘很热情，给人家的感觉,2021年11月10日发布
豪华城景双床房,于2021年10月入住,家庭亲子,5,酒店很干净，前台特别好！城景房完全可以了！附近出行停车都很方便，我就在附近吃的，强推铭家点心（广式早茶）和旁边的一家早餐店，很不错的！！旁边商场什么的也很方便，出门10分钟就到石老人沙滩🏖️很好的体验，下次还来！,2021年10月12日发布
精品城景大床房,于2022年8月入住,情侣出游,1,除了挨着青岛啤酒节，没有其他任何符合这个价格的东西，楼层高的吓人，而且卫生间那个帘子很脏，700多的酒店真的无力吐槽，再也不去,2022年8月5日 发布于山东
精品城景大床房,于2022年8月入住,情侣出游,5,位置很好，距离石老人海滩走走就到了，周边有几个mall，很多吃的。附近的公交很多沿着海边走，白天一定有座位，当观光车了。,2022年8月13日 发布于山东
精品城景大床房,于2021年11月入住,朋友出游,5,订的时候刚好比较便宜，很划算。这一幢大楼每层是不同酒店，交通便利，离石老人，金鼎，丽达都很近。酒店设施和卫生也不错，有做饭和洗衣设备。,2021年11月15日发布
精品城景大床房,于2022年1月入住,其他,5,前台短发小姐姐服务态度超好，入住体验总体也不错，下次去还会选择的,2022年1月17日发布
精品城景大床房,于2021年11月入住,家庭亲子,5,这家公寓真的很不错，我们去的时候因为有老人，前台小姐姐还帮我们升级了一下房间，真的好好哦。房间也很漂亮，还有一个飘窗，太完美了,2021年11月16日发布
豪华海景双床房,于2022年8月入住,家庭亲子,2.7,去石老人很方便实话。 但是是个公寓，卫生不是特别好，不太干净，飘窗的垫子都起球了…… 是海景，其他的都很一般。,2022年8月30日 发布于江苏
豪华城景双床房,于2022年12月入住,独自旅行,5,前台小姐姐非常温柔，房间给升级到了海景房，体验感超级棒，值得推荐入住！👍,2022年12月14日 发布于山东
豪华海景大床房,于2021年12月入住,情侣出游,5,视野很好，也挺干净。前台也很好，很热情。打扫卫生的阿姨也不错。很棒,2022年1月2日发布
豪华海景大床房,于2021年11月入住,家庭亲子,4,除了前台姐姐声音甜美以外其他的一般，为了看海去的其他的无所谓，屋子挺大。卫生堪忧，环境凑活。其他很棒。,2021年11月28日发布
豪华海景双床房,于2022年1月入住,商务出差,5,海景房，景色怡人，早餐也很不错，整体比较满意,2022年1月18日发布
精品城景大床房,于2022年3月入住,独自旅行,5,虽遇疫情风控，人员流动大大减少。但是酒店在依据当地疫情风控部门的要求，进行安全码形成码审核的同时，他们的服务依然如故。周到、热情、温馨、便利。作为回头客这里就是躲避疫情。最为安逸的避风港。,2022年3月24日发布
豪华海景双床房,于2022年1月入住,家庭亲子,5,海景房窗外的美景，真实太漂亮了！,2022年1月21日发布
精品城景大床房,于2021年10月入住,商务出差,5,有洗衣机很有爱，一栋楼里有好多酒店 🚗 交通：便利，旁边就是石老人海水浴场 🧹卫生：每天都会有阿姨打扫 🍃环境：环境挺好 🔔服务：服务好。。。。,2021年10月20日发布
精品城景大床房,于2021年10月入住,独自旅行,5,一直续住的酒店，夏天来住的就是这个，性价比超级高，而且特别干净，前台小姐姐态度超级好，给人家的感觉，比心～,2021年11月1日发布
高级海景家庭房,于2022年2月入住,朋友出游,5,蛮不错的哎,2022年2月13日发布
豪华海景大床房,于2021年12月入住,情侣出游,5,前台服务、周边环境、房间内部设施都不错，飘窗可以看到石老人海景🐂🍺,2021年12月6日发布
豪华海景大床房,于2022年1月入住,情侣出游,5,海景房风景很好，前台小姐姐很热情,2022年1月10日发布
豪华城景大床房,于2022年7月入住,家庭亲子,4,前台小姐姐特别好，给免费升级亲子海景房。周边也特别方便。只是感觉酒店感觉有点老了里边环境不是很好 设施不太完善。,2022年7月11日发布
豪华海景大床房,于2021年8月入住,商务出差,5,海景房景色不用多说了，无敌海景绝对的！ 本来有点担心公寓式酒店卫生，到了以后完全惊喜，洗手间没有任何异味，科勒的台盆龙头，使用感🉑 酒店服务态度也很好，前台接待也很温柔。再来青岛，一定会再次入住～,2021年8月21日发布
豪华海景大床房,于2021年12月入住,其他,5,头一次在崂山看着这么好的风景,2021年12月28日发布
豪华城景大床房,于2021年11月入住,情侣出游,5,每次来青岛基本上都是住的这边，主要是离海边近，购物也很方便。,2021年11月20日发布
精品城景大床房,于2021年11月入住,商务出差,5,很不错，环境很好，小飘窗太舒服了！前台的小姐姐太可爱了！,2021年11月20日发布
豪华城景大床房,于2021年9月入住,商务出差,4.2,离海近，服务态度好，房间比较新，离石老人海水浴场大概步行十五分钟左右。美中不足的是床单被子上有头发和体毛，有待改善。,2021年9月22日发布
豪华城景双床房,于2021年11月入住,商务出差,5,位置好 离石老人海水浴场近 楼层好 能看到海景和沙滩,2021年11月11日发布
豪华海景大床房,于2022年7月入住,家庭亲子,5,续订的时候定了海景房 观海位置俱佳 楼下就是711购物很方便 离丽达购物中心和啤酒节会场都很近,2022年7月29日 发布于山东
精品城景大床房,于2022年9月入住,代人预订,5,替客户定，自己也住过，房间干净布置舒适，前台有耐心，有问题都帮忙解决，推荐入住。,2022年9月12日 发布于山东
豪华城景双床房,于2022年2月入住,代人预订,5,公寓酒店中环境算比较好的了，整体卫生比较不错，卫生间没有异味，升级了海景房，视线非常棒，看拖鞋和洗漱用品，舒适度和配置超过普通连锁酒店，跟中高档连锁酒店水平差不多，仅供参考,2022年2月20日发布
豪华海景大床房,于2021年9月入住,商务出差,5,面朝大海，春暖花开。房间非常不错。美中不足的是热水壶插座，修一下吧。拔电源时差点儿拽下来。,2021年9月25日发布
精品城景大床房,于2021年10月入住,商务出差,5,海景房，房间设备齐全，有洗衣机微波炉等设备，值得好评,2021年11月9日发布
精品城景大床房,于2021年11月入住,商务出差,5,很好，好干净，比快捷强多了，以后就选这里了。,2021年11月13日发布
精品城景大床房,于2021年11月入住,商务出差,5,挺好的，晚上夜景也还可以 🚗 交通：地铁就在附近,2021年11月15日发布
豪华城景双床房,于2021年8月入住,商务出差,5,一次出乎意料的体验。酒店位置不错，距离商场地铁站很近，交通购物方便。前台小哥哥小姐姐服务态度也很好，而且重点是房间很干净，环境也很棒，性价比很高了！,2021年8月21日发布
精品城景大床房,于2022年2月入住,独自旅行,5,"非常出乎我的意料,这个价格还能如此的细节，服务非常好，需要洗衣服会有洗衣凝珠免费提供，一次性用品的质量也非常好，可以看出店家的用心，周边吃饭很方便，地铁也很近，真心不错👍",2022年2月6日发布
豪华海景大床房,于2022年8月入住,朋友出游,5,设施非常好！！交通便利！环境优美！！！前台姐姐热情漂亮！！！ 非常不错的体验！！！！！,2022年8月2日 发布于山东
豪华城景大床房,于2021年11月入住,情侣出游,5,房间干净整洁，窗外景色很不错，,2021年11月15日发布
精品城景大床房,于2022年1月入住,独自旅行,4,交通比较方便，但是酒单位置不太好找，是那种商用公寓楼，一栋楼上很多民宿，每次上楼下楼都要等很长时间。房间挺干净的，屋里暖和，热水随时都有。 被子很拉胯，不盖冷，盖上又闷又热。。,2022年1月31日发布
豪华城景双床房,于2021年11月入住,朋友出游,5,免费给我们升级了海景房很喜欢很喜欢,2021年12月16日发布
精品城景大床房,于2021年8月入住,商务出差,5,干净，服务好，而且离海边近，来了多次，最多的时候住了二十天，前台有美女还有帅哥，都很不错，早晨起来就能看到海,2021年8月25日发布
豪华海景大床房,于2022年6月入住,朋友出游,5,有洗衣机、小冰箱和微波炉！特别方便！！前台的小哥哥和小姐姐也很热情，有什么需求都会第一时间回复！,2022年6月13日发布
精品城景大床房,于2021年11月入住,商务出差,5,干净，舒适型,2021年11月13日发布
精品城景大床房,于2021年8月入住,商务出差,5,很舒适的酒店。 🚗 交通：便捷 🧹卫生：干净卫生 🍃环境：周边设施齐全 🔔服务：热心的老板,2021年8月26日发布
豪华海景双床房,于2022年7月入住,家庭亲子,5,高层看海可以，离沙滩也不算近，整栋楼都是各家的公寓式酒店所以都差不多吧主要是实惠,2022年7月22日 发布于江苏
海景童趣亲子房,于2022年6月入住,家庭亲子,5,🚗 交通：做地铁方便 🧹卫生：干净 🔔服务：服务很满意 选的是亲子哆啦A梦主题，孩子喜欢,2022年6月27日发布
豪华海景大床房,于2021年11月入住,情侣出游,5,位置很好，订了海景房，可以直接看到海，冬季的价格比较亲民。设施比较完备，洗衣机微波炉冰箱都有，衣柜什么的。客厅如果多个落地镜或者梳妆镜就完美了，没自然光化妆看不出效果。前台很热心，解决问题及时。,2021年11月29日发布
豪华城景大床房,于2022年5月入住,朋友出游,5,服务人员态度都非常好，又主动又热情，还有帮忙解决小问题😁位置也很好找 给朋友订的酒店 朋友很满意五星好评,2022年5月14日发布
精品城景大床房,于2022年9月入住,朋友出游,4,房间很大，楼层也高，晚上看风景好看，前台小姐姐服务态度也很好,2022年10月13日 发布于山东
豪华海景大床房,于2022年8月入住,情侣出游,4.5,非常吵，一点都不隔音，小孩子的跑跳声，尖叫声，箱子轱辘的声音听得一清二楚。,2022年8月5日 发布于山东
豪华城景大床房,于2021年4月入住,商务出差,5,卫生特别好，其实入住酒店就是在意酒店卫生，入住之后第一时间检查了下卫生，真的超出我的预期，卫生特别的好，真的非常喜欢，房间设施也非常齐全，洗衣机，电冰箱，微波炉电磁炉啥都有，一定再来，必须推荐。,2021年4月13日发布
豪华城景大床房,于2021年10月入住,独自旅行,2.7,下午开了个钟点房休息 一进房间地上全都是水。一般拖地就薄薄一层水… 但那个水 直到我退房还有很多…… 而且还有一股奇妙的拖把味道 总之让人心情很不好…. 而且开房间需要坐电梯上楼，电梯需要找物业打卡才能上… 觉得挺麻烦的,2021年11月16日发布
豪华城景双床房,于2021年4月入住,独自旅行,5,房间真的特别特别好，自己来旅游的，要了个海景房，在房间可以看见石老人海水浴场，夜景真的特别特别好，晚上可以出去溜达溜达，海边还有乐队唱歌，附近便利店商场多特别近，第二天去崂山玩交通也方便，强烈推荐,2021年4月6日发布
精品城景大床房,于2021年6月入住,独自旅行,5,环境好，干净卫生，性价比高，位置也好，离地铁近，石老人海滩浴场近，下次还来他家，强烈推荐👍🏻👍🏻👍🏻,2021年6月15日发布
精品城景大床房,于2022年6月入住,家庭亲子,5,非常好！很干净！设施齐全！景色漂亮！前台小姐姐很热情很贴心！还会再次入住的！,2022年6月11日发布
豪华城景双床房,于2022年6月入住,家庭亲子,5,环境很好 价格经济实惠 酒店里各种设施都很齐全 小哥哥小姐姐服务态度很好,2022年6月28日发布
豪华海景大床房,于2021年5月入住,家庭亲子,5,酒店配置还不错，洗衣机微波炉电磁炉，就是没有别的用品，海景房很不错，在飘窗可以看到石老人海水浴场。楼下有施工地，有点噪音，别的都挺好的。,2021年5月12日发布
精品城景大床房,于2021年4月入住,其他,5,带着家人去青岛玩，选了好久的酒店，最终选择了蓝朵，没有失望，确实很棒，首先说下位置，石老人海水浴场附近，步行过去也就10分钟左右，周围很多的写字楼，离崂山景区也不远，可以坐公交车前往，周围有丽达购物商场，吃饭购物非常方便，楼下也有商业街，星巴克，24小时便利店，然后卫生，感觉很用心，我们是提前到的酒店，有退的房间还正在打扫，我们大概等了半个小时左右，刚进房间有消毒水的味道，一看就是做了消毒，疫情期间也是让我们很放心，然后就是房间打扫的非常干净，因为带着孩子比较在意一些细节，也检查了很多次，确实没有问题，很放心的住了，床很舒服，枕头不高不低正好，出去玩了一天很累，第二天疲惫感基本没有，最后说下服务，真的特别热情，前台小姐姐服务特别到位，基本有问必答，一定会再来的。,2021年4月19日发布
精品城景大床房,于2021年4月入住,其他,5,星光里附近地点很好找 这边基本都是公寓或者loft这种安静舒适 设施蛮齐全的长期小住可以自己做饭吃周边也都是美食而且地铁便利很方便。 房间很干净~不错 可以让一楼运营中心打一下梯控卡到28层办理入住 小姐姐服务很好~,2021年4月14日发布
精品城景大床房,于2022年8月入住,朋友出游,5,周边环境不错也很方便。前台很热情，电梯有点难等，性价比很高。,2022年8月4日 发布于北京
豪华海景双床房,于2022年11月入住,朋友出游,5,"环境一流,前台服务一流，真的是宝藏公寓",2022年12月5日 发布于山东
豪华城景双床房,于2022年2月入住,家庭亲子,4,酒店地理位置不错，周边吃饭购物很方便，房间很大，床也很大。卫生条件需要改善，房间打扫不够彻底，地下车库停车费有点高。,2022年2月8日发布
精品城景大床房,于2022年7月入住,商务出差,5,房间宽敞，有洗衣机很方便，服务周到。离海边很近，高层，夜景很好。,2022年7月17日发布
豪华海景大床房,于2021年3月入住,情侣出游,5,第一次来 位置好很方便 离地铁很近 从苗岭路地铁口出来走几分钟就到了，离海边也很近 飘窗很大 海景一览无余，睡的舒服 隔音也不错。唯一的不足就是打扫不及时 其他的都很好 再到崂山还会来,2021年3月24日发布
精品城景大床房,于2022年6月入住,情侣出游,5,酒店环境不错，比较干净。周围非常方便！看海也好，吃东西也好都非常方便！！,2022年6月10日发布
豪华城景双床房,于2021年4月入住,家庭亲子,5,很好，4月29号入住，错峰出游，房价200多，5月1号得1000块，凸显了错峰出游性价比，房间设施齐全观景视野好，景色不错，满意,2021年5月1日发布
精品城景大床房,于2021年5月入住,商务出差,4.5,新公寓硬件设施不错，洗衣机微波炉冰箱都有。电热水器容量有限，床底、沙发缝未打扫干净。服务很好前台到保洁阿姨都很有礼貌。,2021年5月9日发布
豪华城景双床房,于2022年12月入住,商务出差,5,干净卫生，设施齐全，很难得的一家酒店,2022年12月2日 发布于山东
豪华城景双床房,于2022年7月入住,家庭亲子,5,服务态度很棒～就是房间关太久，刚进去有些闷闷的味道，其他都很好,2022年7月10日发布
精品城景大床房,于2022年9月入住,情侣出游,5,环境不错，还帮我升了房型，风景很好，可以看见海,2022年9月26日 发布于江苏
豪华海景双床房,于2021年5月入住,朋友出游,5,临近石老人海水浴场3个路口 开车20分钟到海鲜市场 停车收费每小时4元 总体感觉不错,2021年5月29日发布
豪华城景双床房,于2021年4月入住,商务出差,4.5,这个酒店什么都比较好，前天服务热情比较贴心。就是卫生阿姨做的比较差续住的每天拖鞋都不换。床单被罩四天都没有换过。,2021年4月30日发布
精品城景大床房,于2021年4月入住,商务出差,5,这个公寓酒店还是性价比不错的，卫生条件可以，服务态度很好，有问题，也及时解决，很有耐心！地理位置好，周围设施比较齐全的！,2021年4月22日发布
豪华城景双床房,于2021年4月入住,其他,5,酒店服务很好，跟朋友来青岛玩前台小姐姐给推荐了去哪里玩，附近去哪吃海鲜。房间很干净，洗衣机微波炉都有，楼下就是便利店买东西也很方便，下次来还会住这。,2021年4月23日发布
豪华海景双床房,于2022年8月入住,家庭亲子,5,干净卫生，服务态度好，窗外的海景真的让人心旷神怡,2022年9月1日 发布于河北
豪华城景大床房,于2021年5月入住,独自旅行,5,海景房很好，本来订的城景房，结果卫生没打扫完，就免费🆓升级海景房了，不错哦，景色很好,2021年5月19日发布
豪华城景双床房,于2022年6月入住,家庭亲子,5,每次来青岛必住的酒店，经济实惠，关键是1.5的床带孩子睡很好,2022年6月27日发布
精品城景大床房,于2021年7月入住,情侣出游,5,如图，如图，如图,2021年7月20日发布
精品海景大床房,于2021年4月入住,其他,4.7,位置不错，可以看见海。内部环境也很好。只是这个酒店不好找，好几个酒店在一栋大楼上，本酒店又没有明显标志，要打听才能找到。,2021年4月6日发布
精品城景大床房,于2021年11月入住,情侣出游,5,🚗 交通：有停车场就是有点贵 🧹卫生：很干净啦 🍃环境：环境还不错，高档写字楼房间宽敞舒适整洁美观上档次 🔔服务：服务很好啦，前台小姐姐很热情,2021年11月7日发布
豪华海景大床房,于2021年3月入住,其他,5,是真的海景房能看到海，客服前台服务很好，老板很好说话，交通非常方便，没有早餐，不过附近就有很多吃的，希望以后活动多多,2021年3月29日发布
豪华海景双床房,于2022年8月入住,家庭亲子,5,吧台工作人员及服务人员服务态度很好，环境优美,2022年9月1日 发布于山东
海景童趣亲子房,于2021年11月入住,家庭亲子,5,还不错，住了好几次了，满意，唯一不足的就是停车需要收费，一天下来好几十。如果可以协调或者少收的话就更好了。总体来说还是很满意的,2021年11月21日发布
豪华海景双床房,于2022年11月入住,商务出差,5,海景房、环境好、卫生好、服务好,2022年12月3日 发布于河南
精品城景大床房,于2021年12月入住,朋友出游,5,房内环境很好，房间宽敞，飘窗风景不错。前台服务贴心，给我们升级了海景房。位置离丽达、金狮都很近，交通便利。,2022年1月2日发布
精品城景大床房,于2021年3月入住,商务出差,4.7,房间比较大，有洗衣机，电冰箱，电磁炉（但是没看到锅），有沙发和茶几的会客区，早餐还可以，吃饭的时候可以看海景。,2021年3月15日发布
精品城景大床房,于2021年3月入住,情侣出游,5,酒店位置很好 周边商场很多很方便 屋里设施特别齐全 很适合长期住在这里呀 四十层风景很棒 下次还会再来住的,2021年3月21日发布
精品城景大床房,于2021年11月入住,商务出差,5,靠近沙滩，前台小姐姐免费升级了海景房，青岛沙滩夜景真美，房间内设置齐全、干净宽敞，最主要的是干湿分离，没有缺点，价格也美丽,2021年12月17日发布
精品城景大床房,于2021年1月入住,家庭亲子,5,特别好 位置特别好 能看见整个大海 点外卖也很方便 离地铁口很近 房间很大很干净 设备太齐全了 窗户也很大 视野特别好 还给免费升级了房间 隔音也很好 而且床很大很软很舒服 怕冷的话还有备用被子 唯一唯一一点不太舒服的就是感觉热水器的热水量太少了，想洗个舒服的澡的 但是热水用的太快了 没洗完水就凉了 但如果洗澡很快只洗一个人应该也没问题,2021年1月3日发布
豪华海景双床房,于2021年7月入住,家庭亲子,2.7,房间在高层，看海很不错，去海边很近，楼下很多商铺，吃饭也很方便，停车场在地下室，很方便，按小时收费，价格不便宜，房间设施还算齐全，厕所有异味，卫生状况一般，早上天刚刚亮外面就有施工的声音，敲击声，声音很大，完全是被噪音吵醒，个人感觉不适合带孩子入住,2021年7月2日发布
