房型,入住时间,入住类型,评分,评论,评论时间
精品城景大床房,于2022年6月入住,朋友出游,5,吹爆黄发前台小姐姐，人美态度好，房间装饰风格也很棒，有个大窗户，窗户上垫子，可以聊天喝茶☕️，非常便利。,2022年6月29日发布
豪华海景双床房,于2022年9月入住,商务出差,5,睡在床上就能看海景,2022年9月23日 发布于湖北
豪华海景大床房,于2022年6月入住,情侣出游,5,地理位置很好，地铁离着也很近去海边步行差不多十几分钟就能到，环境也不错，室内卫生也挺好，推荐推荐。,2022年6月30日发布
精品城景大床房,于2022年8月入住,家庭亲子,4.7,不错，很好，离海边挺近，吃东西方便。,2022年8月20日 发布于浙江
豪华海景双床房,于2022年8月入住,家庭亲子,4.2,挺不错的，服务很好，海景很好看,2022年8月24日 发布于安徽
豪华城景双床房,于2022年6月入住,家庭亲子,5,"前台小姑娘人很nice ,我这边提的要求尽力满足，房间干净整齐，通风也还不错，坐在窗变看看风景很好。zz",2022年6月11日发布
精品城景大床房,于2022年8月入住,朋友出游,5,环境很棒，夜景也好看！,2022年8月30日 发布于安徽
精品城景大床房,于2022年4月入住,情侣出游,5,🚗 交通：很便利 走路5分钟到达2号线地铁站 🧹卫生：很干净住了两天 大姐收拾的也很干净 🍃环境：离大海很近，大的落地窗加飘台能完美的看到海景 🔔服务：很棒的服务，有事及时沟通,2022年4月6日发布
精品城景大床房,于2022年6月入住,朋友出游,5,🚗 交通：交通很便利 步行到地铁站特别近 市里都可以到 🧹卫生：卫生很干净 有洗衣机微波炉甚至油烟机 🍃环境：楼层特别高 观景范围挺广的 不过可惜这两天有大雾电梯刷卡上楼也很安全 🔔服务：前台小姐姐特别温柔 续一晚付了原价,2022年6月24日发布
豪华城景双床房,于2022年6月入住,独自旅行,5,很不错 前台小姐姐还免费帮我升级了看海景的房间 青岛很美人都很好！,2022年6月27日发布
豪华海景大床房,于2022年6月入住,情侣出游,5,位置很好 距离地铁站近 距离石老人海水浴场也很近 在床上就能看到海,2022年6月20日发布
豪华城景双床房,于2022年5月入住,家庭亲子,5,🚗 交通：交通便利旁边就是地铁站 🧹卫生：干净整洁 🍃环境：宽敞明亮 🔔服务：礼貌热情 有一说一确实不错力推,2022年5月14日发布
豪华城景大床房,于2022年2月入住,商务出差,5,多次预定了这家酒店，被前台美女甜到了总是麻烦她如初见耐心温暖，感觉就是想要下次还住在这里，是住了不想走的酒店，是个有洁癖的人这里卫生干净整洁明亮住着很放心，床睡着好舒服很容易入眠，还能自己做点好吃的有厨房。海景飘窗喝茶看海晒太阳，想要休息一下环境度假的话可以选择，每次离开总是期待下,2022年3月26日发布
豪华海景双床房,于2022年6月入住,朋友出游,5,真的很舒服！天好可以看到海景～离地铁站也不远,2022年6月22日发布
豪华城景双床房,于2022年5月入住,独自旅行,5,夜景动人 一个人看着很有感觉 推荐 价格也实惠 性价比很高 nicenice,2022年5月18日发布
精品城景大床房,于2022年3月入住,其他,5,酒店环境整洁 房间布局堪称完美服务周到，服务态度亲切感非常好 非常到位靠 海边 早上起来拉开窗帘就有暖洋洋的阳光 照在身上让人无比舒心价格也很合理 下次还会选择这里,2022年3月7日发布
主题海景民俗房,于2022年6月入住,情侣出游,5,第二次入住，酒店就在海边，离地铁站也很近,2022年6月20日发布
豪华城景双床房,于2022年7月入住,家庭亲子,3,地点还不错，靠近石老人海滩比较近，楼下的饭馆也不少。酒店在写字楼里，28一层，40一层。设施有的旧了，卫生一般。服务态度还不错。有洗衣机。楼下不远处有核酸，临街就是啤酒节会场。早饭也是中规中矩。,2022年8月2日 发布于山东
精品城景大床房,于2022年4月入住,商务出差,5,疫情期间价格优惠，服务周到，没有造成任何不便，客服人员也热情周到，自己在这做饭也非常方便,2022年4月18日发布
豪华城景双床房,于2022年6月入住,商务出差,5,风景很好 楼层很高,2022年6月27日发布
精品城景大床房,于2022年2月入住,商务出差,5,酒店交通便利 地理位置优越 性价比高 楼下路边两侧有免费停车位 地下有收费停车场🅿️ 前台小姑娘甜美、热情有耐心 房间配套设施齐全 晚上很安静 居住体验良好 ❤️,2022年2月14日发布
精品城景大床房,于2022年2月入住,朋友出游,4.7,酒店位置很方便，离地铁站和石老人海水浴场都是步行十分钟以内可以到，所以也很方便早上去看日出，前台小姐姐老热情可爱了，给我们升级了海景房，视野很好，推荐入住～,2022年2月15日发布
豪华海景大床房,于2022年5月入住,商务出差,5,环境不错，尤其是海景房,2022年5月30日发布
豪华海景大床房,于2022年7月入住,其他,5,非常好的一次入住体验，酒店附近交通很方便，餐厅、饮品店种类非常丰富 ，环境很好，在飘窗上看海非常美！公寓前台的小姐姐特别好，非常热情还很负责任～有物品遗忘马上帮忙找到了！很棒的一次体验！下次还来～,2022年7月8日发布
豪华城景大床房,于2022年5月入住,独自旅行,5,🚗 交通：交通非常便捷，离公交、地铁站很近，自驾楼下有停车场，附近马路两边也有免费停车位； 🧹卫生：房间干净，布置合理，设施齐全，住着很温馨、舒适； 🍃环境：酒店在崂山区核心地段，紧靠石老人海水浴场，地段非常优越；紧邻金狮广场、利群金鼎、丽达购物中心，酒店楼下就有美食街，肯德基、麦当劳、星巴克、必胜客都有，还有很多不错的餐厅选择，很方便；跟前也有很多银行、博物馆、会展中心，配套完善，生活方便； 🔔服务：前台小姐姐服务非常到位、周到，耐心细致；人很体贴，会为住客着想；还给升级了高楼层的海景房，站在飘窗前，眼前就是无敌海景，感觉很美妙！酒店保洁也会按时打扫房间，更换新的洁具等，房间打扫的很干净。 总之，是一次非常好的入住体验，性价比超值，下次还会再来，也会推荐给来玩儿的朋友。,2022年5月11日发布
豪华城景双床房,于2022年2月入住,独自旅行,5,环境非常不错，房间大，隔音好，可以看到大海，服务非常周到，房间打扫的很干净，每次来青岛都会住在这里，也算是老客户了。,2022年2月9日发布
精品城景大床房,于2022年2月入住,朋友出游,1,真的太脏了，床单上也有毛发……地毯上更多，简直了，哪里都不敢碰到，脚都不敢碰到地，地板沙发都很脏，差评,2022年2月24日发布
豪华城景大床房,于2022年4月入住,情侣出游,5,风景特别好～也很干净性价比很高！,2022年4月13日发布
精品城景大床房,于2022年1月入住,朋友出游,5,入住商家给免费升级成了海景大床房，风景超棒，房间面积也很大，设施也还算新，离海边很近，走1000米就能到海，点赞,2022年1月17日发布
童趣温馨亲子房,于2022年2月入住,朋友出游,5,超级棒，干净卫生，空间超级大，交通方便，购物方便，玩耍方便，靠近石老人浴场,2022年5月2日发布
豪华城景双床房,于2022年4月入住,商务出差,5,感觉还不错👌,2022年5月18日发布
精品城景大床房,于2021年11月入住,其他,5,🚗 交通：很方便。公交站和地铁站都不远，去哪里都很方便。 🔔服务：很好。小姐姐给免费升级了海景房哈哈。都不用去石老人看日出了哈哈。满意满意下次还来,2021年11月28日发布
豪华城景大床房,于2022年8月入住,家庭亲子,5,位置很方便，去海边走路只要15分钟，房间里洗衣机微波炉都有，前台小妹妹还可以提供洗衣液和碗，还能提供游泳圈，下次去应该还会住这里。,2022年8月10日 发布于上海
豪华城景双床房,于2021年11月入住,商务出差,5,真的非常不错的公寓酒店，卫生安全，服务台小哥态度极好，这个季节入住绝对的超值，而且购物超级方便，配套电磁炉、微波炉和洗衣机，太周到了,2021年12月1日发布
豪华城景双床房,于2022年11月入住,商务出差,1,非常垃圾，有异味，没有停车位，在路边有几个车位，你永远也抢不到。停路边喜提违章停车一枚,2022年11月24日 发布于山东
豪华城景双床房,于2021年11月入住,商务出差,5,酒店位置很不错，地铁就在附近，出行方便，到海边步行10分钟就到了，周围是商业街，房间设施齐全，卫生干净，住了好几次，入住感很好，前台也很热情，推荐。,2021年11月18日发布
豪华城景大床房,于2022年6月入住,商务出差,5,前台小姐姐服务态度超好 洗面奶忘在了酒店也很热情的帮我寄了回来 时隔两年又来住了 虽然天公不作美 但离海边还是很近的 周边好吃的也多 心情还是超棒,2022年7月1日发布
豪华城景双床房,于2022年8月入住,家庭亲子,5,非常好的一家酒店，因为没赶上高铁只能改签，老板免费给我们升级到亲子房，小朋友非常喜欢，环境，交通都很方便，下次去还住这家,2022年9月11日 发布于江苏
精品城景大床房,于2022年4月入住,商务出差,5,感谢前台带眼镜的小姐姐连续两次为我升级房型，起初认为公寓型酒店会很简单，但是超出了我之前的认知，房间面积很大，有榻榻米，淋雨水压很足，可以看到海，视野很好。重点点赞前台，虽然只有简简单单办入住时的几句话，但是可以听出小姐姐服务好，说话温柔！,2022年4月9日发布
精品城景大床房,于2021年12月入住,家庭亲子,4.5,第一天住的双床房，最后一天换了大床，感觉还是大床房更宽敞，打扫卫生的阿姨人很好，酒店服务也不错，有什么问题都及时处理了,2021年12月5日发布
精品城景大床房,于2021年11月入住,商务出差,5,🧹卫生：干净，房间设施齐全 🚗 交通：方便 🍃环境：很好，周围啥都有，离海边很近，周围买东西也方便，附近有个丽达超市 🔔服务：前台小姑娘很热情，给人家的感觉,2021年11月10日发布
豪华城景双床房,于2021年10月入住,家庭亲子,5,酒店很干净，前台特别好！城景房完全可以了！附近出行停车都很方便，我就在附近吃的，强推铭家点心（广式早茶）和旁边的一家早餐店，很不错的！！旁边商场什么的也很方便，出门10分钟就到石老人沙滩🏖️很好的体验，下次还来！,2021年10月12日发布
精品城景大床房,于2022年8月入住,情侣出游,1,除了挨着青岛啤酒节，没有其他任何符合这个价格的东西，楼层高的吓人，而且卫生间那个帘子很脏，700多的酒店真的无力吐槽，再也不去,2022年8月5日 发布于山东
精品城景大床房,于2022年8月入住,情侣出游,5,位置很好，距离石老人海滩走走就到了，周边有几个mall，很多吃的。附近的公交很多沿着海边走，白天一定有座位，当观光车了。,2022年8月13日 发布于山东
精品城景大床房,于2021年11月入住,朋友出游,5,订的时候刚好比较便宜，很划算。这一幢大楼每层是不同酒店，交通便利，离石老人，金鼎，丽达都很近。酒店设施和卫生也不错，有做饭和洗衣设备。,2021年11月15日发布
精品城景大床房,于2022年1月入住,其他,5,前台短发小姐姐服务态度超好，入住体验总体也不错，下次去还会选择的,2022年1月17日发布
精品城景大床房,于2021年11月入住,家庭亲子,5,这家公寓真的很不错，我们去的时候因为有老人，前台小姐姐还帮我们升级了一下房间，真的好好哦。房间也很漂亮，还有一个飘窗，太完美了,2021年11月16日发布
豪华海景双床房,于2022年8月入住,家庭亲子,2.7,去石老人很方便实话。 但是是个公寓，卫生不是特别好，不太干净，飘窗的垫子都起球了…… 是海景，其他的都很一般。,2022年8月30日 发布于江苏
豪华城景双床房,于2022年12月入住,独自旅行,5,前台小姐姐非常温柔，房间给升级到了海景房，体验感超级棒，值得推荐入住！👍,2022年12月14日 发布于山东
豪华海景大床房,于2021年12月入住,情侣出游,5,视野很好，也挺干净。前台也很好，很热情。打扫卫生的阿姨也不错。很棒,2022年1月2日发布
豪华海景大床房,于2021年11月入住,家庭亲子,4,除了前台姐姐声音甜美以外其他的一般，为了看海去的其他的无所谓，屋子挺大。卫生堪忧，环境凑活。其他很棒。,2021年11月28日发布
豪华海景双床房,于2022年1月入住,商务出差,5,海景房，景色怡人，早餐也很不错，整体比较满意,2022年1月18日发布
精品城景大床房,于2022年3月入住,独自旅行,5,虽遇疫情风控，人员流动大大减少。但是酒店在依据当地疫情风控部门的要求，进行安全码形成码审核的同时，他们的服务依然如故。周到、热情、温馨、便利。作为回头客这里就是躲避疫情。最为安逸的避风港。,2022年3月24日发布
豪华海景双床房,于2022年1月入住,家庭亲子,5,海景房窗外的美景，真实太漂亮了！,2022年1月21日发布
精品城景大床房,于2021年10月入住,商务出差,5,有洗衣机很有爱，一栋楼里有好多酒店 🚗 交通：便利，旁边就是石老人海水浴场 🧹卫生：每天都会有阿姨打扫 🍃环境：环境挺好 🔔服务：服务好。。。。,2021年10月20日发布
精品城景大床房,于2021年10月入住,独自旅行,5,一直续住的酒店，夏天来住的就是这个，性价比超级高，而且特别干净，前台小姐姐态度超级好，给人家的感觉，比心～,2021年11月1日发布
高级海景家庭房,于2022年2月入住,朋友出游,5,蛮不错的哎,2022年2月13日发布
豪华海景大床房,于2021年12月入住,情侣出游,5,前台服务、周边环境、房间内部设施都不错，飘窗可以看到石老人海景🐂🍺,2021年12月6日发布
豪华海景大床房,于2022年1月入住,情侣出游,5,海景房风景很好，前台小姐姐很热情,2022年1月10日发布
豪华城景大床房,于2022年7月入住,家庭亲子,4,前台小姐姐特别好，给免费升级亲子海景房。周边也特别方便。只是感觉酒店感觉有点老了里边环境不是很好 设施不太完善。,2022年7月11日发布
豪华海景大床房,于2021年8月入住,商务出差,5,海景房景色不用多说了，无敌海景绝对的！ 本来有点担心公寓式酒店卫生，到了以后完全惊喜，洗手间没有任何异味，科勒的台盆龙头，使用感🉑 酒店服务态度也很好，前台接待也很温柔。再来青岛，一定会再次入住～,2021年8月21日发布
豪华海景大床房,于2021年12月入住,其他,5,头一次在崂山看着这么好的风景,2021年12月28日发布
豪华城景大床房,于2021年11月入住,情侣出游,5,每次来青岛基本上都是住的这边，主要是离海边近，购物也很方便。,2021年11月20日发布
精品城景大床房,于2021年11月入住,商务出差,5,很不错，环境很好，小飘窗太舒服了！前台的小姐姐太可爱了！,2021年11月20日发布
豪华城景大床房,于2021年9月入住,商务出差,4.2,离海近，服务态度好，房间比较新，离石老人海水浴场大概步行十五分钟左右。美中不足的是床单被子上有头发和体毛，有待改善。,2021年9月22日发布
豪华城景双床房,于2021年11月入住,商务出差,5,位置好 离石老人海水浴场近 楼层好 能看到海景和沙滩,2021年11月11日发布
豪华海景大床房,于2022年7月入住,家庭亲子,5,续订的时候定了海景房 观海位置俱佳 楼下就是711购物很方便 离丽达购物中心和啤酒节会场都很近,2022年7月29日 发布于山东
精品城景大床房,于2022年9月入住,代人预订,5,替客户定，自己也住过，房间干净布置舒适，前台有耐心，有问题都帮忙解决，推荐入住。,2022年9月12日 发布于山东
豪华城景双床房,于2022年2月入住,代人预订,5,公寓酒店中环境算比较好的了，整体卫生比较不错，卫生间没有异味，升级了海景房，视线非常棒，看拖鞋和洗漱用品，舒适度和配置超过普通连锁酒店，跟中高档连锁酒店水平差不多，仅供参考,2022年2月20日发布
豪华海景大床房,于2021年9月入住,商务出差,5,面朝大海，春暖花开。房间非常不错。美中不足的是热水壶插座，修一下吧。拔电源时差点儿拽下来。,2021年9月25日发布
精品城景大床房,于2021年10月入住,商务出差,5,海景房，房间设备齐全，有洗衣机微波炉等设备，值得好评,2021年11月9日发布
精品城景大床房,于2021年11月入住,商务出差,5,很好，好干净，比快捷强多了，以后就选这里了。,2021年11月13日发布
精品城景大床房,于2021年11月入住,商务出差,5,挺好的，晚上夜景也还可以 🚗 交通：地铁就在附近,2021年11月15日发布
豪华城景双床房,于2021年8月入住,商务出差,5,一次出乎意料的体验。酒店位置不错，距离商场地铁站很近，交通购物方便。前台小哥哥小姐姐服务态度也很好，而且重点是房间很干净，环境也很棒，性价比很高了！,2021年8月21日发布
精品城景大床房,于2022年2月入住,独自旅行,5,"非常出乎我的意料,这个价格还能如此的细节，服务非常好，需要洗衣服会有洗衣凝珠免费提供，一次性用品的质量也非常好，可以看出店家的用心，周边吃饭很方便，地铁也很近，真心不错👍",2022年2月6日发布
豪华海景大床房,于2022年8月入住,朋友出游,5,设施非常好！！交通便利！环境优美！！！前台姐姐热情漂亮！！！ 非常不错的体验！！！！！,2022年8月2日 发布于山东
豪华城景大床房,于2021年11月入住,情侣出游,5,房间干净整洁，窗外景色很不错，,2021年11月15日发布
精品城景大床房,于2022年1月入住,独自旅行,4,交通比较方便，但是酒单位置不太好找，是那种商用公寓楼，一栋楼上很多民宿，每次上楼下楼都要等很长时间。房间挺干净的，屋里暖和，热水随时都有。 被子很拉胯，不盖冷，盖上又闷又热。。,2022年1月31日发布
豪华城景双床房,于2021年11月入住,朋友出游,5,免费给我们升级了海景房很喜欢很喜欢,2021年12月16日发布
精品城景大床房,于2021年11月入住,情侣出游,5,非常干净舒适，服务态度非常好,2021年11月15日发布
豪华海景大床房,于2021年6月入住,情侣出游,1,第一次来青岛旅游，入住这家酒店让人太失望了，接近七百一碗的豪华海景房，楼下却施工的让人根本睡不着觉，而且一看就是长期的施工，一两年内估计也很难完成，然而店家却并没有提前告知，窗外景色非常一般，另外房间内的设施都比较老旧了，灰尘较多，浴帘甚至都长满了霉点，洗澡用的热水器都是很旧的款式，两个人洗澡还需要间隔使用才能有热水。酒店的地理位置并不好，去景点都比较远，说是楼下就是商业街，其实很荒凉，都没什么人，来青岛旅游的大家不推荐入住这家酒店，本来预定了四晚，住了一晚就退房了，建议大家住到五四商圈附近，吃饭去景点都会好很多。,2021年6月17日发布
豪华城景大床房,于2021年11月入住,朋友出游,5,物超所值的一家酒店。,2021年11月14日发布
主题海景民俗房,于2021年7月入住,家庭亲子,4,酒店好难找啊，好几家酒店在一栋楼上，外面也没个标志，给人感觉很不正规，床太软，电梯也很难等，住在40楼，下一趟楼最少得等十分钟，而且停车收费，让人很不爽。,2021年7月10日发布
精品城景大床房,于2021年11月入住,情侣出游,5,景色很宜人,2021年11月24日发布
豪华城景大床房,于2021年12月入住,商务出差,5,没有想到如此便宜的价格能有如此高档的享受，小店门面虽小，但是满满的细节与整洁，从电梯到过道，从卫生间到洗手台，从床铺到设施，甚至卫生间里的香水，洗手台上的洗手液，洗澡间的香波和沐浴露，不但是全新的而且完全有五星级的感受！非常感谢店家，以后还会来！,2021年12月9日发布
精品城景大床房,于2021年8月入住,朋友出游,5,疯狂好评，环境跟设施真的是太不错了呢!住了半个月，前台跟打扫阿姨都很热情!下次来一定还住这里,2021年8月31日发布
豪华城景大床房,于2021年5月入住,独自旅行,5,本来定的不是海景房，入住时小美女给我升级到了海景房，开心。房间门口进口右手边是鞋柜，左边是一溜开放式厨房，有水池、烟机、电磁炉、洗衣机、冰箱……屋里很适合一家一起来住，玩累了还可以坐在窗边喝着茶看着海边休息一下,2021年5月29日发布
精品城景大床房,于2021年8月入住,独自旅行,4.2,🚗 交通：交通便利 🧹卫生：干净整洁 🍃环境： 【迷人海景】前台小姐姐还给升级的海景房总体感觉不错,2021年8月17日发布
精品城景大床房,于2021年12月入住,情侣出游,5,入住的时候分了一个靠近电梯的房间，因为觉得太吵，去找了前台的小姐姐很友好的给换了一个靠近里面的房间，升级成了可可爱爱的亲子房？房间采光性很好，房间里还有滑梯，泡泡球池。晚上要洗衣服，前台小姐姐很贴心的送来了洗衣凝珠。,2022年1月10日发布
精品城景大床房,于2021年8月入住,商务出差,5,干净，服务好，而且离海边近，来了多次，最多的时候住了二十天，前台有美女还有帅哥，都很不错，早晨起来就能看到海,2021年8月25日发布
豪华海景大床房,于2022年6月入住,朋友出游,5,有洗衣机、小冰箱和微波炉！特别方便！！前台的小哥哥和小姐姐也很热情，有什么需求都会第一时间回复！,2022年6月13日发布
精品城景大床房,于2021年11月入住,商务出差,5,干净，舒适型,2021年11月13日发布
精品城景大床房,于2021年8月入住,商务出差,5,很舒适的酒店。 🚗 交通：便捷 🧹卫生：干净卫生 🍃环境：周边设施齐全 🔔服务：热心的老板,2021年8月26日发布
豪华海景双床房,于2022年7月入住,家庭亲子,5,高层看海可以，离沙滩也不算近，整栋楼都是各家的公寓式酒店所以都差不多吧主要是实惠,2022年7月22日 发布于江苏
海景童趣亲子房,于2022年6月入住,家庭亲子,5,🚗 交通：做地铁方便 🧹卫生：干净 🔔服务：服务很满意 选的是亲子哆啦A梦主题，孩子喜欢,2022年6月27日发布
豪华海景大床房,于2021年11月入住,情侣出游,5,位置很好，订了海景房，可以直接看到海，冬季的价格比较亲民。设施比较完备，洗衣机微波炉冰箱都有，衣柜什么的。客厅如果多个落地镜或者梳妆镜就完美了，没自然光化妆看不出效果。前台很热心，解决问题及时。,2021年11月29日发布
豪华城景大床房,于2022年5月入住,朋友出游,5,服务人员态度都非常好，又主动又热情，还有帮忙解决小问题😁位置也很好找 给朋友订的酒店 朋友很满意五星好评,2022年5月14日发布
精品城景大床房,于2022年9月入住,朋友出游,4,房间很大，楼层也高，晚上看风景好看，前台小姐姐服务态度也很好,2022年10月13日 发布于山东
豪华海景大床房,于2022年8月入住,情侣出游,4.5,非常吵，一点都不隔音，小孩子的跑跳声，尖叫声，箱子轱辘的声音听得一清二楚。,2022年8月5日 发布于山东
豪华海景大床房,于2022年8月入住,情侣出游,4,总体服务不错，房间简简单单，海景不错！公寓类型有洗衣机，可以洗衣服也不错,2022年10月24日 发布于浙江
豪华城景双床房,于2022年10月入住,朋友出游,5,这个价位有微波炉洗衣机无敌！就是没有酒店免费停车是唯一缺点,2022年10月6日 发布于山东
海景童趣亲子房,于2021年6月入住,家庭亲子,5,性价比非常高，海景房原以为这个价格不会怎么样，结果很惊喜。手机拍的不好，离海滩很近，服务人员态度也很好。卫生很干净。下次有机会，还会选择这家,2021年6月20日发布
精品城景大床房,于2022年7月入住,商务出差,5,石老人风景区，距离海水浴场2KM，酒店环境优雅，干净，卫生，服务超级棒。,2022年10月2日 发布于山东
豪华城景大床房,于2021年6月入住,朋友出游,5,酒店位于金融中心附近，离石老人海水浴场步行只要十分钟，为了看日出，酒店设备齐全，酒店服务很到位，还给升了房~还能看到海水浴场，景色真美,2021年6月20日发布
精品城景大床房,于2022年1月入住,情侣出游,5,这是我住过的最舒适的酒店，真的很棒！大大的落地窗，虽然看不到海景但是看着山景也是很美的。隔音不错，空间也很大！下次再来青岛还是会选择我们家，谢谢！,2022年1月26日发布
精品城景大床房,于2021年8月入住,家庭亲子,5,【带娃玩周边】带孩子石老人海水浴场游泳，经济实惠的一家公寓式酒店。,2021年8月16日发布
豪华海景双床房,于2021年7月入住,朋友出游,5,酒店位置无敌，海景房，站在窗户边就能看到蓝蓝的大海，旅游首选，房间配套齐全，还可以买点海鲜自己做饭。,2021年10月30日发布
